wort,label
tomaten,1
reis,1
nudeln,1
knoblauch,1
paprika,1
kartoffeln,1
kaese,1
milch,1
butter,1
brot,1
ich,0
du,0
haben,0
mag,0
eine,0
und,0
zu,0
hallo,0
kochen,0
kaufe,0
käse,1
tomaten,1
reis,1
nudeln,1
knoblauch,1
paprika,1
kartoffeln,1
kaese,1
käse,1
milch,1
butter,1
brot,1
zwiebeln,1
öl,1
salz,1
pfeffer,1
zucker,1
mehl,1
eier,1
honig,1
quark,1
joghurt,1
schinken,1
hähnchen,1
fisch,1
lachs,1
banane,1
apfel,1
birne,1
orange,1
zitrone,1
gurke,1
mais,1
kohl,1
spinat,1
linsen,1
bohnen,1
sahne,1
kekse,1
tomate,1
basilikum,1
oregano,1
thymian,1
rosmarin,1
vanille,1
backpulver,1
mandeln,1
haselnüsse,1
nüsse,1
pinienkerne,1
kürbis,1
zucchini,1
aubergine,1
rindfleisch,1
schweinefleisch,1
pute,1
tofu,1
sojasauce,1
ketchup,1
mayonnaise,1
senf,1
frischkäse,1
margarine,1
rucola,1
blattsalat,1
eisbergsalat,1
radieschen,1
frühlingszwiebeln,1
käsekuchen,1
vanillezucker,1
kakaopulver,1
kondensmilch,1
datteln,1
feigen,1
weintrauben,1
kirschen,1
pfirsich,1
ananas,1
melone,1
couscous,1
bulgur,1
gnocchi,1
ravioli,1
pesto,1
brotaufstrich,1
sojamilch,1
mandelmilch,1
kokosmilch,1
chia,1
leinsamen,1
haferflocken,1
cornflakes,1
müsli,1
reismehl,1
dinkelmehl,1
vollkornbrot,1
brötchen,1
croissant,1
baguette,1
nudelsoße,1
brühe,1
fond,1
essig,1
soja,1
koriander,1
zimt,1
muskat,1
ingwer,1
knollensellerie,1
sellerie,1
pastinaken,1
steinpilze,1
champignons,1
pfifferlinge,1
morcheln,1
kichererbsen,1
grünkohl,1
mangold,1
fenchel,1
blumenkohl,1
brokkoli,1
romanesco,1
rotkohl,1
weißkohl,1
wirsing,1
pakchoi,1
rosenkohl,1
zuckerschoten,1
spargel,1
karotten,1
möhren,1
pastinake,1
steckrübe,1
rotebete,1
jalapenos,1
chilischoten,1
chili,1
avocado,1
oliven,1
aprikosen,1
granatapfel,1
heidelbeeren,1
blaubeeren,1
himbeeren,1
erdbeeren,1
brombeeren,1
pflaumen,1
nektarinen,1
rosinen,1
sultaninen,1
gerste,1
hirse,1
buchweizen,1
amaranth,1
quinoa,1
polenta,1
grieß,1
nudelteig,1
blätterteig,1
strudelteig,1
tomatenmark,1
sambal,1
tabasco,1
curry,1
kardamom,1
kümmel,1
anis,1
nelken,1
lorbeer,1
petersilie,1
schnittlauch,1
dill,1
kerbel,1
liebstöckel,1
bockshornklee,1
kresse,1
zimtstange,1
vanilleschote,1
gelatine,1
agar,1
speisestärke,1
maisstärke,1
puddingpulver,1
backhefe,1
trockenhefe,1
sauerrahm,1
rahm,1
crèmefraîche,1
mascarpone,1
ricotta,1
gouda,1
emmentaler,1
camembert,1
brie,1
parmesan,1
edamer,1
mozzarella,1
schafskäse,1
ziegenkäse,1
hackfleisch,1
rinderfilet,1
hähnchenbrust,1
putenschnitzel,1
lammfleisch,1
würstchen,1
bockwurst,1
bratwurst,1
leberwurst,1
salami,1
thunfisch,1
sardinen,1
muscheln,1
garnelen,1
krabben,1
seelachs,1
kabeljau,1
forelle,1
makrele,1
aal,1
eis,1
schokolade,1
schokoraspel,1
kuchenteig,1
streusel,1
nussmischung,1
walnüsse,1
cashews,1
pecannüsse,1
paranüsse,1
ich,0
du,0
er,0
sie,0
wir,0
ihr,0
es,0
man,0
was,0
wer,0
wann,0
warum,0
wie,0
wo,0
womit,0
wodurch,0
wozu,0
welche,0
dieses,0
dieser,0
jenes,0
jener,0
meine,0
deine,0
seine,0
ihre,0
unsere,0
eure,0
mit,0
ohne,0
für,0
bei,0
nach,0
vor,0
seit,0
gegen,0
während,0
trotz,0
wegen,0
um,0
an,0
auf,0
in,0
unter,0
neben,0
zwischen,0
über,0
hinter,0
von,0
aus,0
zu,0
zum,0
zur,0
durch,0
über,0
unter,0
noch,0
schon,0
nur,0
auch,0
aber,0
denn,0
doch,0
obwohl,0
falls,0
wobei,0
weil,0
da,0
damit,0
sodass,0
dass,0
sofern,0
sobald,0
solange,0
nicht,0
kein,0
keine,0
nichts,0
etwas,0
alles,0
alle,0
viel,0
wenig,0
mehr,0
weniger,0
etliche,0
einige,0
manche,0
jede,0
jeder,0
jedes,0
ein,0
eine,0
einen,0
einem,0
einer,0
dem,0
den,0
der,0
die,0
das,0
ich,0
du,0
wir,0
sie,0
mein,0
dein,0
sein,0
ihr,0
unser,0
euer,0
dies,0
jenes,0
man,0
wer,0
was,0
wo,0
wann,0
wie,0
warum,0
welcher,0
welche,0
welches,0
kann,0
könnte,0
möchte,0
soll,0
muss,0
dürfen,0
sollte,0
will,0
würde,0
bin,0
bist,0
ist,0
sind,0
seid,0
war,0
waren,0
wurde,0
wurden,0
habe,0
hast,0
hat,0
haben,0
hatte,0
hatten,0
wird,0
werden,0
werde,0
wirst,0
brauche,0
mag,0
esse,0
trinke,0
koche,0
kaufe,0
nehme,0
gebe,0
hole,0
schnell,0
langsam,0
gut,0
besser,0
schlecht,0
lecker,0
genug,0
heiß,0
kalt,0
warm,0
frisch,0
