wort,label
adzuki beans,1
all-purpose flour,1
allspice,1
almond flour,1
amaranth,1
apricot,1
arugula,1
asparagus,1
avocado,1
avocado oil,1
bamboo shoots,1
banana,1
barley,1
beef,1
beet,1
beluga lentils,1
bergamot,1
bison,1
black beans,1
black cherry,1
black lentils,1
black olives,1
black salt,1
black sapote,1
black-eyed peas,1
blackberry,1
blueberry,1
bok choy,1
boysenberry,1
bread flour,1
breadfruit,1
broccoli,1
broccoli stem,1
brown lentils,1
brown sugar,1
brussels sprouts,1
buckwheat,1
buffalo,1
bulgur,1
cabbage,1
cake flour,1
cane sugar,1
canned anchovies,1
canned apples,1
canned apricots,1
canned artichoke hearts,1
canned baked beans,1
canned beets,1
canned black beans,1
canned cannellini beans,1
canned carrots,1
canned cherries,1
canned chickpeas,1
canned clams,1
canned corn,1
canned crab,1
canned fruit cocktail,1
canned green beans,1
canned kidney beans,1
canned lima beans,1
canned lychee,1
canned mackerel,1
canned mandarin oranges,1
canned mango,1
canned mushrooms,1
canned navy beans,1
canned olives,1
canned oysters,1
canned peaches,1
canned pears,1
canned peas,1
canned pineapples,1
canned pinto beans,1
canned pumpkin,1
canned refried beans,1
canned salmon,1
canned sardines,1
canned shrimp,1
canned tomatoes,1
canned trout,1
canned tuna,1
cannellini beans,1
canola oil,1
cardamom,1
caribou,1
carrot,1
castelvetrano olives,1
cauliflower,1
celeriac,1
celery,1
celtic salt,1
cerignola olives,1
chard stalk,1
cherimoya,1
cherry,1
chia,1
chicken,1
chickpeas,1
chive,1
cinnamon,1
clove,1
coconut,1
coconut flour,1
coconut oil,1
coconut sugar,1
cod,1
collard greens,1
coriander,1
corn grits,1
cornmeal,1
couscous,1
crab,1
cracked wheat,1
cranberry,1
cumin,1
daikon,1
date sugar,1
deer,1
demerara sugar,1
dragon fruit,1
duck,1
durian,1
einkorn,1
elderberry,1
elephant garlic,1
elk,1
emmer,1
farfalle,1
farro,1
fava beans,1
fennel,1
fettuccine,1
field peas,1
flaky salt,1
flaxseed oil,1
freekeh,1
french lentils,1
fusilli,1
gaeta olives,1
garlic,1
ginger,1
gluten-free flour,1
goat,1
goji berry,1
golden lentils,1
goose,1
grapefruit,1
grapeseed oil,1
green lentils,1
green olives,1
green onion,1
green peas,1
grouse,1
guava,1
guinea fowl,1
haddock,1
huckleberry,1
iodized salt,1
jackfruit,1
jarred artichokes,1
jarred capers,1
jarred horseradish,1
jarred olives,1
jarred pasta sauce,1
jarred peppers,1
jarred pesto,1
jarred pickles,1
jarred salsa,1
jarred sun-dried tomatoes,1
kalamata olives,1
kale,1
kamut,1
kidney beans,1
kiwi,1
kohlrabi,1
kosher salt,1
kumquat,1
lamb,1
lasagna,1
leek,1
lemon,1
lemongrass,1
lettuce,1
ligurian olives,1
lima beans,1
lime,1
linguine,1
lobster,1
lychee,1
macaroni,1
mackerel,1
mandarin,1
mango,1
manzanilla olives,1
millet,1
mulberry,1
mung beans,1
muscovado sugar,1
mustard greens,1
mutton,1
navy beans,1
nectarine,1
nicoise olives,1
nutmeg,1
oat flour,1
oats,1
octopus,1
olive oil,1
onion,1
orange,1
orange lentils,1
ostrich,1
papaya,1
paprika,1
parsnip,1
partridge,1
passion fruit,1
pasta,1
pawpaw,1
peach,1
peanut oil,1
pearl onion,1
penne,1
pheasant,1
picholine olives,1
pickling salt,1
pigeon peas,1
pineapple,1
pink salt,1
pinto beans,1
plum,1
pluot,1
polenta,1
pomelo,1
pork,1
potato,1
powdered sugar,1
quail,1
quinoa,1
rabbit,1
radicchio,1
radish,1
ramps,1
raspberry,1
raw sugar,1
red lentils,1
rhubarb,1
rice,1
rigatoni,1
romaine,1
rotini,1
rutabaga,1
rye flour,1
salmon,1
santol,1
sapote,1
savoy cabbage,1
scallion,1
scallop,1
sea salt,1
self-rising flour,1
semolina,1
sesame oil,1
shallot,1
shrimp,1
smoked salt,1
snap peas,1
snow peas,1
sorghum,1
sour cherry,1
soursop,1
soybeans,1
spaghetti,1
spanish pardina lentils,1
spelt,1
spinach,1
split peas,1
spring onion,1
sprouted adzuki beans,1
sprouted black beans,1
sprouted chickpeas,1
sprouted green peas,1
sprouted kidney beans,1
sprouted lentils,1
sprouted mung beans,1
sprouted navy beans,1
sprouted pinto beans,1
sprouted soybeans,1
squab,1
squirrel,1
strawberry,1
sunflower oil,1
sweet potato,1
swiss chard,1
table salt,1
tangerine,1
teff,1
tuna,1
turbinado sugar,1
turkey,1
turmeric,1
turnip,1
vegetable oil,1
venison,1
watercress,1
wheat bran,1
white flour,1
white peach,1
white peas,1
white rice,1
white sugar,1
whole wheat flour,1
wild boar,1
yellow lentils,1
yellow peas,1
yuzu,1
